duplicate_group_id,original_path,duplicate_of,filename,file_type,hash,size,reason
DUP-000001,00_INBOX - Входящи - Eingang/Accounting/10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1 (2).pdf,00_INBOX - Входящи - Eingang/Accounting/10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1 (2)-1.pdf,10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1 (2).pdf,.pdf,6466988714114d7a80d1dea688d32cbf69c5a6d15e01d5aa1eb2e91138c54ac8,295741,Exact duplicate by SHA-256 hash.
DUP-000002,00_INBOX - Входящи - Eingang/Accounting/20240313_193308.jpg,00_INBOX - Входящи - Eingang/Accounting/20240313_193308(1).jpg,20240313_193308.jpg,.jpg,014e46fe1f7fc82f9a0ae0396fd126c0c806ecb08b6f911f70c835abada22c54,1450015,Exact duplicate by SHA-256 hash.
DUP-000003,00_INBOX - Входящи - Eingang/Accounting/20250120_160820.jpg,00_INBOX - Входящи - Eingang/Accounting/20250120_160820(1).jpg,20250120_160820.jpg,.jpg,5ce83977c7d9e381e2187c374c46f31657b59b7567438f63f6015d0d5d317bbc,6683703,Exact duplicate by SHA-256 hash.
DUP-000004,"00_INBOX - Входящи - Eingang/Accounting/42585 - Rechnung 240587_2024 vom 29.06.2024, Aufträge 31_24, 33_23, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/42585 - Rechnung 240587_2024 vom 29.06.2024, Aufträge 31_24, 33_23, 33_24, 34_24, Mandant 42303-1.pdf","42585 - Rechnung 240587_2024 vom 29.06.2024, Aufträge 31_24, 33_23, 33_24, 34_24, Mandant 42303.pdf",.pdf,c2fd1dbaf6d1dcb97044e03d7b599de279f0f5aca261d8584480ea87c7d814f1,84853,Exact duplicate by SHA-256 hash.
DUP-000005,00_INBOX - Входящи - Eingang/Accounting/SEPA List health security.pdf,00_INBOX - Входящи - Eingang/Accounting/SEPA List health security-1.pdf,SEPA List health security.pdf,.pdf,74f2c03b7f7f339b44570fd3eb6bf4cb3975a40b16d4736ca5ab672ac45fef67,12745,Exact duplicate by SHA-256 hash.
DUP-000006,00_INBOX - Входящи - Eingang/Accounting/Unternehmerabrechnung - VP 120-2400001108.pdf,00_INBOX - Входящи - Eingang/Accounting/Unternehmerabrechnung - VP 120-2400001108-1.pdf,Unternehmerabrechnung - VP 120-2400001108.pdf,.pdf,1565424b35ded35ff44ef8c39f646f0117dc9f8f2058c93e290177508d454505,116304,Exact duplicate by SHA-256 hash.
DUP-000007,00_INBOX - Входящи - Eingang/Accounting/working hours 04.2025.xlsx,00_INBOX - Входящи - Eingang/Accounting/working hours 04.2025(1).xlsx,working hours 04.2025.xlsx,.xlsx,332d0db77512623c4a85ab84f753ee72103695b26c17db87e894fb8135e236c7,217899,Exact duplicate by SHA-256 hash.
DUP-000008,00_INBOX - Входящи - Eingang/Accounting/Zahlungsavis 8345-1440.pdf,00_INBOX - Входящи - Eingang/Accounting/Zahlungsavis 8345-1440-1.pdf,Zahlungsavis 8345-1440.pdf,.pdf,759b6637c80517d7cbc8ea46bdc1476fdb68de89652917a93590639751031a39,84172,Exact duplicate by SHA-256 hash.
DUP-000009,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/02-2022 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/###########          2022-2023/02-2022 #9109.pdf,02-2022 #9109.pdf,.pdf,f92946ff6f976da51f038b27155e8c4c7fb45307b1ce261389cbafe7b0991bf5,933482,Exact duplicate by SHA-256 hash.
DUP-000010,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/bankstatementsfrom2022untilnow/02-2022 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/###########          2022-2023/02-2022 #9109.pdf,02-2022 #9109.pdf,.pdf,f92946ff6f976da51f038b27155e8c4c7fb45307b1ce261389cbafe7b0991bf5,933482,Exact duplicate by SHA-256 hash.
