original_path,filename,file_type,reason,content_read,recommended_next_action
00_INBOX - Входящи - Eingang/Accounting/1000040773.jpg,1000040773.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/1000040774.jpg,1000040774.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/1000047298 (1).jpg,1000047298 (1).jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/1000047301 (1).jpg,1000047301 (1).jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240105_214356.jpg,20240105_214356.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240118_201244.jpg,20240118_201244.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240118_201333.jpg,20240118_201333.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240122_213234.jpg,20240122_213234.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240122_213354.jpg,20240122_213354.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240122_213523.jpg,20240122_213523.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240207_175537.jpg,20240207_175537.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240207_175612.jpg,20240207_175612.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240213_154432.jpg,20240213_154432.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240213_160151.jpg,20240213_160151.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240213_160355.jpg,20240213_160355.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240213_160605.jpg,20240213_160605.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240213_160917.jpg,20240213_160917.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240213_183313.jpg,20240213_183313.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240228_165447.jpg,20240228_165447.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240308_203211.mp4,20240308_203211.mp4,.mp4,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240308_203259.jpg,20240308_203259.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240313_192946.jpg,20240313_192946.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240313_193308(1).jpg,20240313_193308(1).jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240318_074925.jpg,20240318_074925.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240318_174927.jpg,20240318_174927.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240321_074606.jpg,20240321_074606.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240323_055457.jpg,20240323_055457.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240323_060040.jpg,20240323_060040.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240405_091317.jpg,20240405_091317.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240405_165837.jpg,20240405_165837.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240405_165922.jpg,20240405_165922.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240409_145317.jpg,20240409_145317.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240411_200249.jpg,20240411_200249.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240411_200351.jpg,20240411_200351.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240411_200423.jpg,20240411_200423.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240412_173242.jpg,20240412_173242.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240421_160012.jpg,20240421_160012.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240425_073935.jpg,20240425_073935.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240503_165138.jpg,20240503_165138.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240503_165410.jpg,20240503_165410.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240506_174920.jpg,20240506_174920.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240513_180215.jpg,20240513_180215.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240518_133837.jpg,20240518_133837.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240525_180048.jpg,20240525_180048.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240603_123040.jpg,20240603_123040.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240613_190612.jpg,20240613_190612.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240620_175959.jpg,20240620_175959.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240625_151011.jpg,20240625_151011.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240629_074306.jpg,20240629_074306.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240703_075444.jpg,20240703_075444.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240725_170837.jpg,20240725_170837.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240805_192746.jpg,20240805_192746.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240805_193114.jpg,20240805_193114.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240805_193118.jpg,20240805_193118.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240807_150523.jpg,20240807_150523.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240810_105035.jpg,20240810_105035.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240908_151654.jpg,20240908_151654.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240908_151754.jpg,20240908_151754.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240908_152609.jpg,20240908_152609.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240913_133524.jpg,20240913_133524.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240918_170620.jpg,20240918_170620.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240929_095748.jpg,20240929_095748.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240929_095825.jpg,20240929_095825.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240929_100504.jpg,20240929_100504.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/20240929_100825.jpg,20240929_100825.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
