content_hash,kept_source_file,duplicate_source_file,reason
6466988714114d7a80d1dea688d32cbf69c5a6d15e01d5aa1eb2e91138c54ac8,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1 (2)-1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1 (2)-1__copy2.pdf,Same file hash.
2c30ecb9fe7e62872542d620bb4f5f7525b75c2dc9c9091eb0371ca61219dad5,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1__copy2.pdf,Same file hash.
b70c0cfc4a27529c8cdf11fd78f2ff5cdceb5f619bcef2a11bba0e9b038fe3f9,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_02-2024_DivAuswertungen_00006_5Z1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_02-2024_DivAuswertungen_00006_5Z1__copy2.pdf,Same file hash.
3e18fb30ddee190e4f3c232a13e348b88ee2fd054c202679e486fda8637d4d88,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_03-2024_DivAuswertungen_DivMitarbeiter_8Z1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_03-2024_DivAuswertungen_DivMitarbeiter_8Z1__copy3.pdf,Same file hash.
256b21ed78c0cc2825a18d8dbf01cc201715c709bbee78ae7927a6ba5f811af9,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_03-2024_DivAuswertungen_DivMitarbeiter_8Z1__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_03-2024_DivAuswertungen_DivMitarbeiter_8Z1__copy4.pdf,Same file hash.
50b6ce39f7cc892c536d6dcb6ee28d681eeb34818f8151f16370a793e030d687,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_04-2024_DivAuswertungen_DivMitarbeiter_BZ1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_04-2024_DivAuswertungen_DivMitarbeiter_BZ1__copy2.pdf,Same file hash.
5cc9d9b2735dd5cc5b3d022bd5f3775f34a667398da2ac75d0411edc0bba8b6d,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_05-2024_DivAuswertungen_DivMitarbeiter_EZ1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_05-2024_DivAuswertungen_DivMitarbeiter_EZ1__copy2.pdf,Same file hash.
a53dea68c2715d23299a8e260d23cf998858f2a15a0bafa6418cf9e56e961b93,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_06-2024_DivAuswertungen_DivMitarbeiter_HZ1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_06-2024_DivAuswertungen_DivMitarbeiter_HZ1__copy2.pdf,Same file hash.
c3ae64b55fde69a35ae17b41120ac6944415f4d72f67ecda19f11691b25459ec,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_06_2025_Div_Auswertungen_Div_Mitarbeiter.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_06_2025_Div_Auswertungen_Div_Mitarbeiter__copy2.pdf,Same file hash.
d3df3ff686261576c06f4349646794ccfccdda3986b3f684a29bf9bf048fe4fe,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_07-2024_DivAuswertungen_DivMitarbeiter_KZ1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_07-2024_DivAuswertungen_DivMitarbeiter_KZ1__copy2.pdf,Same file hash.
cb46b812c860a0ee0292e60ca7d0792765a173aeebd078dcd8b7bbc0545af3e4,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_08-2024_Brutto_NettoProbe_00074_NZ1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_08-2024_Brutto_NettoProbe_00074_NZ1__copy2.pdf,Same file hash.
bbc3b4b932b99ca93c8b9a42684e7ba12c43558688a8becba4c8f00f5a3dbbd3,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_08-2024_Brutto_NettoProbe_00098_NZ1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_08-2024_Brutto_NettoProbe_00098_NZ1__copy2.pdf,Same file hash.
