month,enrico_deductions_total_if_available,revenue_if_available,payroll_brutto,payroll_netto,health_insurance_due,health_insurance_paid,health_insurance_unpaid,tax_due,tax_paid,tax_unpaid,operating_costs_due,operating_costs_paid,operating_costs_unpaid,total_monthly_obligations,total_paid,total_unpaid,notes,confidence
2024-01,,,517.65,137896.85,58321.97,12505.81,,57905.97,12486.56,20.00,146827.86,12469.77,20.00,263573.45,175358.99,40.00,,MEDIUM
2024-02,,,10500.10,11037.17,59425.27,8119.23,,68107.32,8105.85,33.04,826145216.37,7277.62,33.04,826283249.06,34539.87,66.08,,MEDIUM
2024-03,-6549.17,,,19.00,53716.12,6568.57,,53735.12,6570.34,20.00,4775.75,6556.53,20.00,112226.99,19714.44,40.00,,MEDIUM
2024-04,,,,19.00,51583.91,7245.07,,51602.91,5698.84,20.00,4069.27,7237.02,20.00,107256.09,20199.93,40.00,,MEDIUM
2024-05,,,,19.00,54457.03,5881.24,,54475.02,5883.01,20.00,4064.50,5890.28,20.00,112996.55,17673.53,40.00,,MEDIUM
2024-06,,,,19.00,54779.05,6003.35,,54797.04,6005.12,20.00,3031.10,5991.28,20.00,112607.19,18018.75,40.00,,MEDIUM
2024-07,,,,151148.76,48872.69,7994.75,,48903.74,7081.04,27.09,25234.65,7985.67,27.09,123011.08,174210.22,54.18,,MEDIUM
2024-08,,,,19.00,53051.12,8563.49,,53070.12,8565.26,20.00,2500.84,8550.40,20.00,108622.08,25698.15,40.00,,MEDIUM
2024-09,,,,148350.66,21727.98,26916.23,,3781.62,11454.86,19.11,43726.68,11492.04,19.11,69236.28,198213.79,38.22,,MEDIUM
2024-10,,,,166852.66,704413.94,6902.07,,704458.66,6903.84,40.20,819894.22,6890.96,40.20,2228766.82,187549.53,80.40,,MEDIUM
2024-11,163.65,,,195244.85,6457.35,8348.14,,3733.22,7173.64,67.19,162033.09,8326.91,67.19,172223.66,219093.54,134.38,,MEDIUM
2024-12,12.50,,,169225.79,5924.52,7079.18,,4837.79,7070.83,34.03,111540.78,7054.05,34.03,122303.09,190429.85,68.06,,MEDIUM
2025-01,67.89,,,159310.00,2356.77,5718.89,,1258.13,5703.88,14.03,92243.09,5692.86,14.03,95857.99,176425.63,28.06,,MEDIUM
2025-02,89.29,,,143185.08,5758.30,18651.96,,4680.36,18640.94,,62397.56,18630.91,,72836.22,199108.89,,,MEDIUM
2025-03,239.05,,11062.00,182802.61,173344.11,185870.02,,15917.48,18466.20,40.00,63423.28,18438.28,40.00,263746.87,405577.11,80.00,,MEDIUM
2025-04,18.50,,,153436.60,4847.30,22.09,,3752.34,13.05,,57932.67,,,66532.31,153471.74,,,MEDIUM
2025-05,,,,102207.65,5604.27,2517.11,,4509.31,2504.06,,16188.23,2494.00,,26301.81,109722.82,,,MEDIUM
2025-06,,,,54103.70,3165.27,29.13,,2352.89,18.07,,59695.25,,,65213.41,54150.90,,,MEDIUM
