month,total_brutto,total_netto,source_documents,confidence,source_snippet,matched_pattern,extraction_method
2023-08,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,LOW,312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,filename month only,strong_payroll_total_or_month_only
2024-07,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2024.pdf,LOW,Lohnauswertungen_Juli_2024.pdf,filename month only,strong_payroll_total_or_month_only
2024-11,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2025.pdf,LOW,Lohnauswertungen_Juli_2025.pdf,filename month only,strong_payroll_total_or_month_only
2020-07,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2025__copy2.pdf,LOW,Lohnauswertungen_Juli_2025__copy2.pdf,filename month only,strong_payroll_total_or_month_only
2022-10,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Mai_2024-1.pdf,LOW,Lohnauswertungen_Mai_2024-1.pdf,filename month only,strong_payroll_total_or_month_only
2024-06,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Mai_2024.pdf,LOW,Lohnauswertungen_Mai_2024.pdf,filename month only,strong_payroll_total_or_month_only
2025-04,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_März_2025.pdf,LOW,Lohnauswertungen_März_2025.pdf,filename month only,strong_payroll_total_or_month_only
2024-12,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_November_2024-1.pdf,LOW,Lohnauswertungen_November_2024-1.pdf,filename month only,strong_payroll_total_or_month_only
2024-12,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_November_2024.pdf,LOW,Lohnauswertungen_November_2024.pdf,filename month only,strong_payroll_total_or_month_only
2024-11,,,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Oktober_2024.pdf,LOW,Lohnauswertungen_Oktober_2024.pdf,filename month only,strong_payroll_total_or_month_only
