filename,full_path,file_type,detected_document_type,reason_not_processed,password_attempted,password_success,text_extracted,structured_rows_extracted,missing_required_fields,recommended_next_action,confidence,status
Accounting.rar,00_INBOX - Входящи - Eingang/Accounting/Accounting.rar,.rar,,RAR extraction unavailable,NO,NOT_APPLICABLE,NO,0,structured accounting fields,"Install 7-Zip, unrar, or rarfile backend and rerun analyzer.",LOW,UNPROCESSED_WITH_REASON
Accounting1111111111111111111.rar,00_INBOX - Входящи - Eingang/Accounting/Accounting1111111111111111111.rar,.rar,,RAR extraction unavailable,NO,NOT_APPLICABLE,NO,0,structured accounting fields,"Install 7-Zip, unrar, or rarfile backend and rerun analyzer.",LOW,UNPROCESSED_WITH_REASON
Accountings 02-2025 - martin.zahariev@gmail.com - Gmail_files.rar,00_INBOX - Входящи - Eingang/Accounting/Accountings 02-2025 - martin.zahariev@gmail.com - Gmail_files.rar,.rar,,RAR extraction unavailable,NO,NOT_APPLICABLE,NO,0,structured accounting fields,"Install 7-Zip, unrar, or rarfile backend and rerun analyzer.",LOW,UNPROCESSED_WITH_REASON
10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1 (2).pdf,00_INBOX - Входящи - Eingang/Accounting/10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1 (2).pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
20240313_193308.jpg,00_INBOX - Входящи - Eingang/Accounting/20240313_193308.jpg,.jpg,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
20250120_160820.jpg,00_INBOX - Входящи - Eingang/Accounting/20250120_160820.jpg,.jpg,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"42585 - Rechnung 240587_2024 vom 29.06.2024, Aufträge 31_24, 33_23, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/42585 - Rechnung 240587_2024 vom 29.06.2024, Aufträge 31_24, 33_23, 33_24, 34_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
SEPA List health security.pdf,00_INBOX - Входящи - Eingang/Accounting/SEPA List health security.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
Unternehmerabrechnung - VP 120-2400001108.pdf,00_INBOX - Входящи - Eingang/Accounting/Unternehmerabrechnung - VP 120-2400001108.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
working hours 04.2025.xlsx,00_INBOX - Входящи - Eingang/Accounting/working hours 04.2025.xlsx,.xlsx,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
Zahlungsavis 8345-1440.pdf,00_INBOX - Входящи - Eingang/Accounting/Zahlungsavis 8345-1440.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
