evidence_id,event_date,contribution_period,Krankenkasse,event_type,amount_due,due_date,amount_paid,payment_date,amount_outstanding,sender,recipient,communication_subject,communication_summary,payment_plan_status,source_file,source_path,source_page,source_snippet,extraction_method,confidence,duplicate_references,gap_flags
SI-390JS-5935-26-00001,2001-03-01,2001-03,AOK,HEALTH_INSURANCE_RELATED_DOCUMENT,,,,,,,,,Health-insurance related document detected by text/path keywords.,,Sozialversicherungsanmeldungen.json,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/Sozialversicherungsanmeldungen.json,,"{ ""filename"": ""Sozialversicherungsanmeldungen.pdf"", ""extraction_method"": ""PyMuPDF fitz"", ""password_success"": ""YES"", ""text_length"": 48862, ""detected_insurance_name"": ""BKK"", ""detected_dates"": [ ""01.03.2001"", ""01.03.2021"", ""01.06.2021"", ""02.03.2021"", ""05.05.1991"", ""05.07.1974"", ""05.08.2021"", ""06.01.2022"", ""06.08.2021"", ""07.01.2022"", ""07.04.2021"", ""07.05.2021"", ""07.10.2021"", ""08.04.2022"", ""08.06.2021"", ""08.11.1995"", ""09.",text_file_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00002,2018-10-24,2023-08,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,00_INBOX - Входящи - Eingang/Accounting/312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,,"üge (einschließlich Einmalbezüge, steuer- pflichtiger Auslösungen, geldwerter Vorteil etc.), abzüglich gesetzliche Abzüge einschließlich freiwil- liger Beiträge zur Sozialversicherung, auch Arbeitgeberanteile und deren Zuzahlung bei Selbstzahlern. Chemnitz, 26.08.2024 Ort, Datum Firmenstempel/Unterschrift Tel.: LB03.12 14.08.1977 D Geburtsdatum: Beschäftigt seit: AG-Zuschuss KV/PV/BV Gesamtbeitrag KV/PV/BV",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00003,2018-10-24,2023-08,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,,"üge (einschließlich Einmalbezüge, steuer- pflichtiger Auslösungen, geldwerter Vorteil etc.), abzüglich gesetzliche Abzüge einschließlich freiwil- liger Beiträge zur Sozialversicherung, auch Arbeitgeberanteile und deren Zuzahlung bei Selbstzahlern. Chemnitz, 26.08.2024 Ort, Datum Firmenstempel/Unterschrift Tel.: LB03.12 14.08.1977 D Geburtsdatum: Beschäftigt seit: AG-Zuschuss KV/PV/BV Gesamtbeitrag KV/PV/BV",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00004,2018-10-24,2023-08,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,,"üge (einschließlich Einmalbezüge, steuer- pflichtiger Auslösungen, geldwerter Vorteil etc.), abzüglich gesetzliche Abzüge einschließlich freiwil- liger Beiträge zur Sozialversicherung, auch Arbeitgeberanteile und deren Zuzahlung bei Selbstzahlern. Chemnitz, 26.08.2024 Ort, Datum Firmenstempel/Unterschrift Tel.: LB03.12 14.08.1977 D Geburtsdatum: Beschäftigt seit: AG-Zuschuss KV/PV/BV Gesamtbeitrag KV/PV/BV",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00005,2018-10-24,2023-08,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/13_Unknown_To_Review/312_neut__Verdienstbescheinigung_Brutto_Netto_01_08_2023_-_31_07_2024.pdf,,"üge (einschließlich Einmalbezüge, steuer- pflichtiger Auslösungen, geldwerter Vorteil etc.), abzüglich gesetzliche Abzüge einschließlich freiwil- liger Beiträge zur Sozialversicherung, auch Arbeitgeberanteile und deren Zuzahlung bei Selbstzahlern. Chemnitz, 26.08.2024 Ort, Datum Firmenstempel/Unterschrift Tel.: LB03.12 14.08.1977 D Geburtsdatum: Beschäftigt seit: AG-Zuschuss KV/PV/BV Gesamtbeitrag KV/PV/BV",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00006,2019-01-01,2019-01,AOK,HEALTH_INSURANCE_RELATED_DOCUMENT,,,,,,,,,Health-insurance related document detected by text/path keywords.,,SV-Nachweis_DE_V__Div_Mitarbeiter__07-2021.json,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/SV-Nachweis_DE_V__Div_Mitarbeiter__07-2021.json,,"{ ""filename"": ""SV-Nachweis (DEЪV)_Div Mitarbeiter_ (07-2021.pdf"", ""extraction_method"": ""PyMuPDF fitz"", ""password_success"": ""YES"", ""text_length"": 511314, ""detected_insurance_name"": ""KKH"", ""detected_dates"": [ ""01.01.2019"", ""01.01.2020"", ""01.01.2021"", ""01.03.2020"", ""01.03.2021"", ""01.04.2020"", ""01.05.1985"", ""01.05.2019"", ""01.05.2021"", ""01.06.1999"", ""01.06.2020"", ""01.06.2021"", ""01.07.2020"", ""01.08.2019"", ""01.09.2018"", ""01",text_file_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00007,2019-01-01,2019-01,AOK,HEALTH_INSURANCE_RELATED_DOCUMENT,,,,,,,,,Health-insurance related document detected by text/path keywords.,,Sozialversicherungsanmeldungen_01-2020_bis_03-2021.json,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/Sozialversicherungsanmeldungen_01-2020_bis_03-2021.json,,"{ ""filename"": ""Sozialversicherungsanmeldungen 01-2020 bis 03-2021.pdf"", ""extraction_method"": ""PyMuPDF fitz"", ""password_success"": ""YES"", ""text_length"": 167080, ""detected_insurance_name"": ""KKH"", ""detected_dates"": [ ""01.01.2019"", ""01.01.2020"", ""01.01.2021"", ""01.03.2020"", ""01.03.2021"", ""01.04.2020"", ""01.06.2020"", ""01.07.2020"", ""01.08.2019"", ""01.09.2020"", ""01.10.2019"", ""01.11.2019"", ""01.12.2019"", ""02.03.2021"", ""02.06.2020",text_file_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00008,2019-01-01,2019-01,AOK Sachsen-Anhalt,HEALTH_INSURANCE_RELATED_DOCUMENT,,,,,,,,,Health-insurance related document detected by text/path keywords.,,9._Nachweise_zur_Anmeldung_der_Mitarbeiter_beim_Sozialversicherungstr_ger.json,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/9._Nachweise_zur_Anmeldung_der_Mitarbeiter_beim_Sozialversicherungstr_ger.json,,"{ ""filename"": ""9. Nachweise zur Anmeldung der Mitarbeiter beim Sozialversicherungsträger.pdf"", ""extraction_method"": ""PyMuPDF fitz"", ""password_success"": ""YES"", ""text_length"": 567771, ""detected_insurance_name"": ""AOK Sachsen-Anhalt"", ""detected_dates"": [ ""01.01.2019"", ""01.01.2020"", ""01.01.2021"", ""01.01.2022"", ""01.01.2023"", ""01.01.2024"", ""01.02.2024"", ""01.03.2001"", ""01.03.2021"", ""01.03.2023"", ""01.03.2024"", ""01.04.2020"", """,text_file_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00009,2019-01-01,2019-01,KKH,HEALTH_INSURANCE_RELATED_DOCUMENT,,,,,,,,,Health-insurance related document detected by text/path keywords.,,SV-Nachweis_DE_V__Div_Mitarbeiter__07-2021.json,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/SV-Nachweis_DE_V__Div_Mitarbeiter__07-2021.json,,"{ ""filename"": ""SV-Nachweis (DEЪV)_Div Mitarbeiter_ (07-2021.pdf"", ""extraction_method"": ""PyMuPDF fitz"", ""password_success"": ""YES"", ""text_length"": 511314, ""detected_insurance_name"": ""KKH"", ""detected_dates"": [ ""01.01.2019"", ""01.01.2020"", ""01.01.2021"", ""01.03.2020"", ""01.03.2021"", ""01.04.2020"", ""01.05.1985"", ""01.05.2019"", ""01.05.2021"", ""01.06.1999"", ""01.06.2020"", ""01.06.2021"", ""01.07.2020"", ""01.08.2019"", ""01.09.2018"", ""01",text_file_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00010,2019-01-01,2019-01,KKH,HEALTH_INSURANCE_RELATED_DOCUMENT,,,,,,,,,Health-insurance related document detected by text/path keywords.,,Sozialversicherungsanmeldungen_01-2020_bis_03-2021.json,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/Sozialversicherungsanmeldungen_01-2020_bis_03-2021.json,,"{ ""filename"": ""Sozialversicherungsanmeldungen 01-2020 bis 03-2021.pdf"", ""extraction_method"": ""PyMuPDF fitz"", ""password_success"": ""YES"", ""text_length"": 167080, ""detected_insurance_name"": ""KKH"", ""detected_dates"": [ ""01.01.2019"", ""01.01.2020"", ""01.01.2021"", ""01.03.2020"", ""01.03.2021"", ""01.04.2020"", ""01.06.2020"", ""01.07.2020"", ""01.08.2019"", ""01.09.2020"", ""01.10.2019"", ""01.11.2019"", ""01.12.2019"", ""02.03.2021"", ""02.06.2020",text_file_keyword_scan,MEDIUM,,
