classification,reason,event_date,contribution_period,Krankenkasse,amount_paid,amount_outstanding,event_type,source_file,source_snippet,confidence
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,,2020-07,AOK Plus,1798.00,,HEALTH_INSURANCE_EXTRACTED_ROW,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2025__copy2.pdf,"beiträge bereits bezahlt wurden. ***Finanzamt 09097 Chemnitz Bar/Einzug 215/291/01497 07/2025 1.798,00",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,AOK Hessen,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/04-2021 #9109.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,AOK Hessen,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/04-2021 #9109.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,AOK Hessen,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/04-2021 #9109.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,AOK Hessen,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/04-2021 #9109__copy2.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,AOK PLUS,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/04-2021 #9109.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,AOK PLUS,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/04-2021 #9109.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,AOK PLUS,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/04-2021 #9109.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,AOK PLUS,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/04-2021 #9109__copy2.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,KKH,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/04-2021 #9109.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
