police_category,rank,document,date,Krankenkasse,fact_established,why_needed,source_path,source_snippet,confidence
A,CORE,Entgeltbescheinigungen 06-2024.pdf,,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 06-2024.pdf,"AOK Baden-Württemberg 70025 Stuttgart Überweisung 89878877 253,34 AOK Bayern Die Gesundheitsk 81739 München Überweisung 89878877 1.125,65 AOK Hessen 61281 Bad Homburg Überweisung 89878877 1.244,22 AOK Nordost 14456 Potsdam Überweisung 89878877 1.187,06 AOK PLUS 01058 Dresden Überweisung 89878877 8.617,36 AOK Sachsen-Anhalt 39106 Magdeburg Keine Überw. 89878877 1.159,45- BKK Linde 65030 Wiesbaden Keine Überw. 89878877 1.351,67- BKK SBK 80227 München Überweisung 89878877 1.239,23 BKK VIACTIV 44803",MEDIUM
A,CORE,Entgeltbescheinigungen 07-2024.pdf,,AOK Bayern,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 07-2024.pdf,"AOK Baden-Württemberg 70025 Stuttgart Überweisung 89878877 81,11 AOK Bayern Die Gesundheitsk 81739 München Überweisung 89878877 1.125,65 AOK Hessen 61281 Bad Homburg Überweisung 89878877 1.244,22 AOK Nordost 14456 Potsdam Überweisung 89878877 1.187,06 AOK PLUS 01058 Dresden Überweisung 89878877 9.219,88 BKK Linde 65030 Wiesbaden Überweisung 89878877 750,96 BKK SBK 80227 München Überweisung 89878877 1.125,14 BKK VIACTIV 44803 Bochum Überweisung 89878877 1.227,60 EK BARMER 42271 Wuppertal Überweis",MEDIUM
A,CORE,Entgeltbescheinigungen 08-2024.pdf,,AOK Bayern,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 08-2024.pdf,"AOK Bayern Die Gesundheitsk 81739 München Überweisung 89878877 472,01 AOK Hessen 61281 Bad Homburg Überweisung 89878877 1.244,22 AOK Nordost 14456 Potsdam Keine Überw. 89878877 1.187,06- AOK PLUS 01058 Dresden Bar/Einzug 89878877 8.240,74 BKK Linde 65030 Wiesbaden Überweisung 89878877 1.296,02 BKK SBK 80227 München Überweisung 89878877 1.125,14 BKK VIACTIV 44803 Bochum Überweisung 89878877 1.227,60 EK BARMER 42271 Wuppertal Überweisung 89878877 2.303,42 EK DAK Gesundheit 20009 Hamburg Bar/Einzug",MEDIUM
A,CORE,Entgeltbescheinigungen 09-2024.pdf,,AOK Bayern,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 09-2024.pdf,"AOK Bayern Die Gesundheitsk 81739 München Keine Überw. 89878877 798,83- AOK Hessen 61281 Bad Homburg Überweisung 89878877 1.244,22 AOK PLUS 01058 Dresden Bar/Einzug 89878877 11.253,52 BKK Linde 65030 Wiesbaden Überweisung 89878877 1.417,11 BKK SBK 80227 München Überweisung 89878877 326,66 BKK VIACTIV 44803 Bochum Überweisung 89878877 1.227,60 BKK vivida 78056 Villingen-Schwe Überweisung 89878877 544,82 EK BARMER 42271 Wuppertal Überweisung 89878877 3.501,30 EK DAK Gesundheit 20009 Hamburg Bar/Ei",MEDIUM
A,CORE,Remaining health insurances for 09_2024 und 10_2024.eml,,AOK Hessen,ACCOUNTANT_COMMUNICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/Remaining health insurances for 09_2024 und 10_2024.eml,"""Brunettin, Marco"" <marco@brunettin.de> To: Martin zahariev <martin.zahariev@gmail.com> Subject: Remaining health insurances for 09/2024 und 10/2024 IBAN Zweck Betrag EK Techniker Krankenkasse DE33 1004 0000 0545 4665 00 89878877, Beitrag 10/2024 88,53 KKH Kaufm. Krankenkasse DE52 2508 0020 0170 0170 00 89878877, Beitrag 09+10/2024 29.910,60 BKK Viactiv DE16 4301 0111 1173 0068 00 89878877, Beitrag 09/2024 564,78 EK ",HIGH
A,CORE,Remaining health insurances for 09_2024 und 10_2024.eml,,AOK Hessen,ACCOUNTANT_COMMUNICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Remaining health insurances for 09_2024 und 10_2024.eml,"""Brunettin, Marco"" <marco@brunettin.de> To: Martin zahariev <martin.zahariev@gmail.com> Subject: Remaining health insurances for 09/2024 und 10/2024 IBAN Zweck Betrag EK Techniker Krankenkasse DE33 1004 0000 0545 4665 00 89878877, Beitrag 10/2024 88,53 KKH Kaufm. Krankenkasse DE52 2508 0020 0170 0170 00 89878877, Beitrag 09+10/2024 29.910,60 BKK Viactiv DE16 4301 0111 1173 0068 00 89878877, Beitrag 09/2024 564,78 EK ",HIGH
A,CORE,Remaining health insurances for 09_2024 und 10_2024__copy2.eml,,AOK Hessen,ACCOUNTANT_COMMUNICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Remaining health insurances for 09_2024 und 10_2024__copy2.eml,"""Brunettin, Marco"" <marco@brunettin.de> To: Martin zahariev <martin.zahariev@gmail.com> Subject: Remaining health insurances for 09/2024 und 10/2024 IBAN Zweck Betrag EK Techniker Krankenkasse DE33 1004 0000 0545 4665 00 89878877, Beitrag 10/2024 88,53 KKH Kaufm. Krankenkasse DE52 2508 0020 0170 0170 00 89878877, Beitrag 09+10/2024 29.910,60 BKK Viactiv DE16 4301 0111 1173 0068 00 89878877, Beitrag 09/2024 564,78 EK ",HIGH
A,CORE,Remaining health insurances for 09_2024 und 10_2024__copy3.eml,,AOK Hessen,ACCOUNTANT_COMMUNICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Remaining health insurances for 09_2024 und 10_2024__copy3.eml,"""Brunettin, Marco"" <marco@brunettin.de> To: Martin zahariev <martin.zahariev@gmail.com> Subject: Remaining health insurances for 09/2024 und 10/2024 IBAN Zweck Betrag EK Techniker Krankenkasse DE33 1004 0000 0545 4665 00 89878877, Beitrag 10/2024 88,53 KKH Kaufm. Krankenkasse DE52 2508 0020 0170 0170 00 89878877, Beitrag 09+10/2024 29.910,60 BKK Viactiv DE16 4301 0111 1173 0068 00 89878877, Beitrag 09/2024 564,78 EK ",HIGH
A,CORE,Entgeltbescheinigungen 10-2024.pdf,,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 10-2024.pdf,"AOK Hessen 61281 Bad Homburg Überweisung 89878877 1.244,22 AOK PLUS 01058 Dresden Bar/Einzug 89878877 15.451,27 BKK Linde 65030 Wiesbaden Überweisung 89878877 1.126,43 BKK SBK 80227 München Überweisung 89878877 1.074,28 BKK VIACTIV 44803 Bochum Überweisung 89878877 1.227,60 EK BARMER 42271 Wuppertal Überweisung 89878877 1.990,52 EK DAK Gesundheit 20009 Hamburg Bar/Einzug 89878877 604,19 EK KKH Kaufmännische Kranke 30144 Hannover Überweisung 89878877 17.870,97 EK Techniker-Krankenkasse 22291 Hamb",MEDIUM
A,CORE,Entgeltbescheinigungen 11-2024.pdf,,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 11-2024.pdf,"AOK Hessen 61281 Bad Homburg Überweisung 89878877 1.244,22 AOK PLUS 01058 Dresden Überweisung 89878877 15.042,95 BKK Linde 65030 Wiesbaden Überweisung 89878877 2.378,83 BKK SBK 80227 München Überweisung 89878877 1.350,19 BKK VIACTIV 44803 Bochum Überweisung 89878877 1.227,60 EK BARMER 42271 Wuppertal Überweisung 89878877 1.159,45 EK DAK Gesundheit 20009 Hamburg Fehler 89878877 1.151,97 EK KKH Kaufmännische Kranke 30144 Hannover Überweisung 89878877 15.855,27 EK Techniker-Krankenkasse 22291 Hambu",MEDIUM
