package_item_no,tier,date,filename,document_type,Krankenkasse,fact_established,why_directly_relevant_to_police_request,source_path,duplicate_status,evidence_signature,confidence
1,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 06-2024.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 06-2024.pdf,UNIQUE,entgeltbescheinigungen 06-2024.pdf,MEDIUM
2,TIER_2_SUPPORTING,,Entgeltbescheinigungen 07-2024.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Bayern,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 07-2024.pdf,UNIQUE,entgeltbescheinigungen 07-2024.pdf,MEDIUM
3,TIER_2_SUPPORTING,,Entgeltbescheinigungen 08-2024.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Bayern,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 08-2024.pdf,UNIQUE,entgeltbescheinigungen 08-2024.pdf,MEDIUM
4,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 09-2024.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Bayern,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 09-2024.pdf,UNIQUE,entgeltbescheinigungen 09-2024.pdf,MEDIUM
5,TIER_1_INITIAL_POLICE_PACKAGE,,Remaining health insurances for 09_2024 und 10_2024.eml,ACCOUNTANT_COMMUNICATION,AOK Hessen,ACCOUNTANT_COMMUNICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/Remaining health insurances for 09_2024 und 10_2024.eml,UNIQUE,remaining health insurances for 09_2024 und 10_2024.eml,HIGH
6,TIER_3_AVAILABLE_ON_REQUEST,,Remaining health insurances for 09_2024 und 10_2024.eml,ACCOUNTANT_COMMUNICATION,AOK Hessen,ACCOUNTANT_COMMUNICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Remaining health insurances for 09_2024 und 10_2024.eml,DUPLICATE_OR_COPY,remaining health insurances for 09_2024 und 10_2024.eml,HIGH
7,TIER_3_AVAILABLE_ON_REQUEST,,Remaining health insurances for 09_2024 und 10_2024__copy2.eml,ACCOUNTANT_COMMUNICATION,AOK Hessen,ACCOUNTANT_COMMUNICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Remaining health insurances for 09_2024 und 10_2024__copy2.eml,DUPLICATE_OR_COPY,remaining health insurances for 09_2024 und 10_2024.eml,HIGH
8,TIER_3_AVAILABLE_ON_REQUEST,,Remaining health insurances for 09_2024 und 10_2024__copy3.eml,ACCOUNTANT_COMMUNICATION,AOK Hessen,ACCOUNTANT_COMMUNICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Remaining health insurances for 09_2024 und 10_2024__copy3.eml,DUPLICATE_OR_COPY,remaining health insurances for 09_2024 und 10_2024.eml,HIGH
9,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 10-2024.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 10-2024.pdf,UNIQUE,entgeltbescheinigungen 10-2024.pdf,MEDIUM
10,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 11-2024.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 11-2024.pdf,UNIQUE,entgeltbescheinigungen 11-2024.pdf,MEDIUM
11,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 12-2024.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 12-2024.pdf,UNIQUE,entgeltbescheinigungen 12-2024.pdf,MEDIUM
12,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 01-2025.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 01-2025.pdf,UNIQUE,entgeltbescheinigungen 01-2025.pdf,MEDIUM
13,TIER_2_SUPPORTING,2025-01-15,Cash-Payment.pdf,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungendezember2024/Cash-Payment.pdf,UNIQUE,cash-payment.pdf,HIGH
14,TIER_3_AVAILABLE_ON_REQUEST,2025-01-15,Cash-Payment.pdf,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Cash-Payment.pdf,DUPLICATE_OR_COPY,cash-payment.pdf,HIGH
15,TIER_3_AVAILABLE_ON_REQUEST,2025-01-15,Cash-Payment__copy2.pdf,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Cash-Payment__copy2.pdf,DUPLICATE_OR_COPY,cash-payment.pdf,HIGH
16,TIER_3_AVAILABLE_ON_REQUEST,2025-01-15,Cash-Payment.pdf,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/13_Unknown_To_Review/Cash-Payment.pdf,DUPLICATE_OR_COPY,cash-payment.pdf,HIGH
17,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 02-2025.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 02-2025.pdf,UNIQUE,entgeltbescheinigungen 02-2025.pdf,MEDIUM
18,TIER_2_SUPPORTING,,BWA 03-2025.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,TK,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/08_Operating_Costs/BWA 03-2025.pdf,UNIQUE,bwa 03-2025.pdf,HIGH
19,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 04-2025.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 04-2025.pdf,UNIQUE,entgeltbescheinigungen 04-2025.pdf,MEDIUM
20,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 05-2025.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK PLUS,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 05-2025.pdf,UNIQUE,entgeltbescheinigungen 05-2025.pdf,MEDIUM
21,TIER_1_INITIAL_POLICE_PACKAGE,,Entgeltbescheinigungen 06-2025.pdf,CONTRIBUTION_DUE_OR_NOTIFICATION,AOK PLUS,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 06-2025.pdf,UNIQUE,entgeltbescheinigungen 06-2025.pdf,MEDIUM
22,TIER_1_INITIAL_POLICE_PACKAGE,,Tabelle nach § 175 InsO mit Grund des Bestreitens.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Tabelle nach § 175 InsO mit Grund des Bestreitens.pdf,UNIQUE,tabelle nach § 175 inso mit grund des bestreitens.pdf,HIGH
23,TIER_2_SUPPORTING,,agb_doc.pdf,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/ihrebestellung465795beiwebergmbh/agb_doc.pdf,UNIQUE,agb_doc.pdf,HIGH
24,TIER_3_AVAILABLE_ON_REQUEST,,agb_doc.pdf,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/agb_doc.pdf,DUPLICATE_OR_COPY,agb_doc.pdf,HIGH
25,TIER_3_AVAILABLE_ON_REQUEST,,agb_doc__copy2.pdf,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/agb_doc__copy2.pdf,DUPLICATE_OR_COPY,agb_doc.pdf,HIGH
