month,gross_credit_total,gross_credit_gutschrift_total,abschlag_coincident_total,abschlag_mitnahme_total,abschlag_quittungslose_sendung_total,sendungsverlust_total,scannermiete_total,other_deductions_total,total_deductions,total_deductions_negative,refunds_total_positive,net_effect,net_amount_if_available,number_of_source_documents,missing_source_documents,source_document_numbers,notes
2024-02,,,,,,,,,,,,,,1,YES,,No Gutschrift/Abrechnung source document detected for this month.
2024-03,186243.20,186243.20,-6245.92,-180.25,-123.00,,,,-6549.17,-6549.17,,179694.03,,1,NO,7-2024,
2024-04,,,,,,,,,,,,,,0,YES,,No Gutschrift/Abrechnung source document detected for this month.
2024-05,,,,,,,,,,,,,,0,YES,,No Gutschrift/Abrechnung source document detected for this month.
2024-06,,,,,,,,,,,,,,0,YES,,No Gutschrift/Abrechnung source document detected for this month.
2024-07,,,,,,,,,,,,,,0,YES,,No Gutschrift/Abrechnung source document detected for this month.
2024-08,,,,,,,,,,,916.00,916.00,,1,YES,34-2024,No Gutschrift/Abrechnung source document detected for this month.
2024-09,176234.29,176234.29,,,,,,,,,,176234.29,,2,NO,31-2024,
2024-10,197442.02,197442.02,,,,,,,,,,197442.02,,2,NO,38-2024,
2024-11,232318.76,232318.76,,,,147.65,16.00,,163.65,,100.00,232582.41,,7,NO,01999; 02000; 02001; 02002; 42-2024; 51-2025,
2024-12,188941.38,188941.38,,,,12.50,,,12.50,,95.95,189049.83,,6,NO,02014; 02015; 02023; 44-2024; 55-2025,
2025-01,189578.90,189578.90,,,,51.89,16.00,,67.89,,,189646.79,,6,NO,02035; 02036; 02037; 02038; 48-2025,
2025-02,170271.25,170271.25,,,,73.29,16.00,,89.29,,75.91,170436.45,,7,NO,02054; 02055; 02056; 02057; 52-2025; 60-2025,
2025-03,202395.66,202395.66,,,,223.05,16.00,,239.05,,50.00,202684.71,,7,NO,02068; 02069; 02070; 02766; 57-2025; 71-2025,
2025-04,,,,,,2.50,16.00,,18.50,,,18.50,,3,YES,02764; 02765; 02767,No Gutschrift/Abrechnung source document detected for this month.
2025-05,120491.84,120491.84,,,,,,,,,,120491.84,,2,NO,66-2025,
2025-06,,,,,,,,,,,,,,0,YES,,No Gutschrift/Abrechnung source document detected for this month.
