month,missing_source_documents,notes
2024-02,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-03,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-04,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-05,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-06,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-07,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-08,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-09,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-10,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-11,YES,No Gutschrift/Abrechnung source document detected for this month.
2024-12,YES,No Gutschrift/Abrechnung source document detected for this month.
2025-01,YES,No Gutschrift/Abrechnung source document detected for this month.
2025-02,YES,No Gutschrift/Abrechnung source document detected for this month.
2025-03,YES,No Gutschrift/Abrechnung source document detected for this month.
2025-04,YES,No Gutschrift/Abrechnung source document detected for this month.
2025-05,YES,No Gutschrift/Abrechnung source document detected for this month.
2025-06,YES,No Gutschrift/Abrechnung source document detected for this month.
