month,category,gap_status,best_candidate_file,confidence,next_action
2024-01,payroll,CANDIDATE_FOUND,Lohnauswertungen.pdf,HIGH,MOVE_TO_CATEGORY
2024-01,health insurance,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-01,operating cost,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-01,Enrico,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-02,payroll,CANDIDATE_FOUND,Lohnauswertungen.pdf,HIGH,MOVE_TO_CATEGORY
2024-02,health insurance,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-02,operating cost,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-02,Enrico,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-03,payroll,CANDIDATE_FOUND,Lohnauswertungen.pdf,HIGH,MOVE_TO_CATEGORY
2024-03,health insurance,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-03,operating cost,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-03,tax,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-04,payroll,CANDIDATE_FOUND,Lohnauswertungen_Juli_2025__copy2.pdf,HIGH,USE_EXISTING
2024-04,health insurance,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-04,operating cost,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-04,Enrico,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
2024-05,payroll,CANDIDATE_FOUND,Lohnauswertungen.pdf,HIGH,MOVE_TO_CATEGORY
2024-05,health insurance,CANDIDATE_FOUND,10001_05-2024_DivAuswertungen_DivMitarbeiter_EZ1.pdf,HIGH,MOVE_TO_CATEGORY
2024-05,operating cost,CANDIDATE_FOUND,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,HIGH,MOVE_TO_CATEGORY
